state,total.2000,total.2010,total.2011,total.2012,frl.2000,frl.2010,frl.2011,frl.2012,pc.frl.2000,pc.frl.2010,pc.frl.2011,pc.frl.2012
New Hampshire ..................,206919.0,194001.0,190784.0,187940.0,31212.0,48904.0,50123.0,50596.0,15.084163368274542,25.208117483930497,26.27211925528346,26.921357880174522
New Jersey .................,1312983.0,1356882.0,1316792.0,1363967.0,357728.0,444735.0,467798.0,501804.0,27.245440344619848,32.77624730816681,35.52558034981986,36.79003964172154
New Mexico .................,320303.0,335810.0,333331.0,335922.0,174939.0,227077.0,228227.0,229249.0,54.616722291080634,67.62067835978678,68.46857928005497,68.24471156994778
New York ................,2859927.0,2722761.0,2685751.0,2708341.0,1236945.0,1315564.0,1334698.0,1297148.0,43.25092913210722,48.31727793956209,49.69552277928966,47.89455980616916
North Carolina ...........,1194371.0,1487699.0,1497711.0,1506080.0,470316.0,747978.0,784268.0,809732.0,39.37771429480455,50.277509092901184,52.36444147101811,53.76420907255922
North Dakota ................,109201.0,94273.0,94018.0,98993.0,31840.0,29929.0,30870.0,30330.0,29.157242149797163,31.74715984428203,32.8341381437597,30.638529997070503
Ohio .......................,1745237.0,1747851.0,1738642.0,1656390.0,494829.0,745121.0,758106.0,674438.0,28.353111926918807,42.63069334857491,43.60334099831938,40.7173431377876
Oklahoma ....................,623110.0,659376.0,665243.0,665404.0,300179.0,398917.0,406908.0,410378.0,48.174319141082634,60.49916891121303,61.16682174784251,61.67350962723398
Oregon ......................,535617.0,553468.0,540266.0,533966.0,186203.0,280174.0,287214.0,286635.0,34.76420651323613,50.621535481726134,53.16159077195307,53.68038414430881
Pennsylvania ...............,1798977.0,1742608.0,1732035.0,1716262.0,510121.0,686641.0,696531.0,712584.0,28.3561713129184,39.40306712697291,40.21460305363344,41.519534896187174
Rhode Island ..............,157347.0,142575.0,141456.0,141124.0,52209.0,61127.0,62082.0,65184.0,33.18080420980381,42.8735753112397,43.88785205293519,46.18916697372523
South Carolina .............,677411.0,722203.0,726003.0,735998.0,320254.0,395033.0,412345.0,427396.0,47.276173548997576,54.69833274024063,56.79659725923998,58.07026649528939
South Dakota .............,128598.0,125883.0,128016.0,130294.0,37857.0,46718.0,49469.0,51678.0,29.438249428451453,37.112239142696,38.64282589676291,39.66260917617082
Tennessee ...............,909161.0,987078.0,964832.0,982312.0,436298.0,542953.0,554768.0,575522.0,47.989080041928766,55.00608867789577,57.498922092136254,58.588513629071
Texas ....................,4059353.0,4916401.0,5000193.0,5077507.0,1823029.0,2471212.0,2552819.0,3059657.0,44.90934885436177,50.26465497830629,51.05440929980103,60.25904050944686
Utah ....................,470265.0,585552.0,598294.0,600146.0,135428.0,223943.0,284910.0,362933.0,28.79823078477029,38.24476733065551,47.62040067257903,60.474117964628604
Vermont ....................,102049.0,85144.0,83451.0,83568.0,23986.0,31339.0,32748.0,32581.0,23.50439494752521,36.80705628112374,39.24219002768091,38.9874114493586
Virginia ....................,1067710.0,1250206.0,1227099.0,1235561.0,320233.0,458879.0,480821.0,487463.0,29.992507328769047,36.704271136116766,39.18355405717061,39.45276679985852
Washington ..................,1004770.0,1043466.0,1041934.0,1050904.0,326295.0,418065.0,463246.0,474940.0,32.47459617623934,40.06503326414085,44.46020573280073,45.1934715254676
West Virginia ...........,286285.0,282879.0,282870.0,283044.0,143446.0,145605.0,149407.0,148493.0,50.10601323855598,51.47253772814525,52.81825573585039,52.462867963991464
Wisconsin ................,859276.0,872164.0,869670.0,871376.0,219276.0,342660.0,354527.0,360803.0,25.5186924806465,39.288482441375706,40.76569273402555,41.40612089385065
Wyoming ...................,89895.0,88779.0,89363.0,91533.0,43483.0,32968.0,33145.0,34617.0,48.37087713443462,37.13490803005215,37.09029464095879,37.819147192815706
