"zcta5","county","cousubfp","cbsa","metdiv","cntyname","cousubnm","cbsaname","mdivname","zipname","pop10","afact"
"ZIP Census Tabulation Area","county","cousubfp","cbsa","metdiv","cntyname","County Subdivision Name","CBSA Name","Metro Div Name","zipname","Total Pop, 2010 census","zcta5 to metdiv alloc factor"
"63543","29199","36980"," "," ","Scotland MO","Jefferson township"," "," ","Gorin, MO",2,0.006 
"63543","29199","65828"," "," ","Scotland MO","Sand Hill township"," "," ","Gorin, MO",3,0.009 
"63543","29199","73060"," "," ","Scotland MO","Thomson township"," "," ","Gorin, MO",22,0.063 
"63544","29001","41924","28860"," ","Adair MO","Liberty township","Kirksville, MO"," ","Green Castle, MO",45,0.055 
"63544","29001","50096","28860"," ","Adair MO","Morrow township","Kirksville, MO"," ","Green Castle, MO",283,0.346 
"63544","29001","76786","28860"," ","Adair MO","Walnut township","Kirksville, MO"," ","Green Castle, MO",31,0.038 
"63544","29171","21952"," "," ","Putnam MO","Elm township"," "," ","Green Castle, MO",34,0.042 
"63544","29211","09280"," "," ","Sullivan MO","Buchanan township"," "," ","Green Castle, MO",23,0.028 
"63544","29211","50024"," "," ","Sullivan MO","Morris township"," "," ","Green Castle, MO",4,0.005 
"63544","29211","56918"," "," ","Sullivan MO","Penn township"," "," ","Green Castle, MO",374,0.457 
"63544","29211","75022"," "," ","Sullivan MO","Union township"," "," ","Green Castle, MO",24,0.029 
"63545","29211","09280"," "," ","Sullivan MO","Buchanan township"," "," ","Green City, MO",151,0.136 
"63545","29211","36152"," "," ","Sullivan MO","Jackson township"," "," ","Green City, MO",32,0.029 
"63545","29211","56918"," "," ","Sullivan MO","Penn township"," "," ","Green City, MO",834,0.751 
"63545","29211","75022"," "," ","Sullivan MO","Union township"," "," ","Green City, MO",94,0.085 
"63546","29001","04546","28860"," ","Adair MO","Benton township","Kirksville, MO"," ","Greentop, MO",4,0.002 
"63546","29001","14248","28860"," ","Adair MO","Clay township","Kirksville, MO"," ","Greentop, MO",241,0.141 
"63546","29001","52526","28860"," ","Adair MO","Nineveh township","Kirksville, MO"," ","Greentop, MO",98,0.057 
"63546","29001","58682","28860"," ","Adair MO","Polk township","Kirksville, MO"," ","Greentop, MO",634,0.37 
"63546","29197","35054","28860"," ","Schuyler MO","Independence township","Kirksville, MO"," ","Greentop, MO",60,0.035 
"63546","29197","65648","28860"," ","Schuyler MO","Salt River township","Kirksville, MO"," ","Greentop, MO",678,0.395 
