"zcta5","county","cousubfp","cbsa","metdiv","cntyname","cousubnm","cbsaname","mdivname","zipname","pop10","afact"
"ZIP Census Tabulation Area","county","cousubfp","cbsa","metdiv","cntyname","County Subdivision Name","CBSA Name","Metro Div Name","zipname","Total Pop, 2010 census","zcta5 to metdiv alloc factor"
"64633","29033","50276"," "," ","Carroll MO","Moss Creek township"," "," ","Carrollton, MO",40,0.008 
"64633","29033","59510"," "," ","Carroll MO","Prairie township"," "," ","Carrollton, MO",22,0.004 
"64633","29033","61832"," "," ","Carroll MO","Ridge township"," "," ","Carrollton, MO",3,0.001 
"64633","29033","71422"," "," ","Carroll MO","Sugartree township"," "," ","Carrollton, MO",6,0.001 
"64633","29033","73906"," "," ","Carroll MO","Trotter township"," "," ","Carrollton, MO",205,0.039 
"64633","29033","75742"," "," ","Carroll MO","Van Horn township"," "," ","Carrollton, MO",51,0.01 
"64633","29033","76552"," "," ","Carroll MO","Wakenda township"," "," ","Carrollton, MO",364,0.07 
"64633","29033","77254"," "," ","Carroll MO","Washington township"," "," ","Carrollton, MO",1,0 
"64635","29079","35810"," "," ","Grundy MO","Jackson township"," "," ","Chula, MO",8,0.016 
"64635","29079","80224"," "," ","Grundy MO","Wilson township"," "," ","Chula, MO",16,0.031 
"64635","29115","35864"," "," ","Linn MO","Jackson township"," "," ","Chula, MO",13,0.025 
"64635","29117","17146"," "," ","Livingston MO","Cream Ridge township"," "," ","Chula, MO",368,0.715 
"64635","29117","47090"," "," ","Livingston MO","Medicine township"," "," ","Chula, MO",110,0.214 
"64636","29061","65198"," "," ","Daviess MO","Salem township"," "," ","Coffey, MO",241,0.806 
"64636","29061","77362"," "," ","Daviess MO","Washington township"," "," ","Coffey, MO",48,0.161 
"64636","29081","00226"," "," ","Harrison MO","Adams township"," "," ","Coffey, MO",4,0.013 
"64636","29081","17956"," "," ","Harrison MO","Cypress township"," "," ","Coffey, MO",6,0.02 
"64637","29025","18370","28140"," ","Caldwell MO","Davis township","Kansas City, MO-KS"," ","Cowgill, MO",16,0.024 
"64637","29025","42626","28140"," ","Caldwell MO","Lincoln township","Kansas City, MO-KS"," ","Cowgill, MO",418,0.627 
"64637","29025","52400","28140"," ","Caldwell MO","New York township","Kansas City, MO-KS"," ","Cowgill, MO",103,0.154 
"64637","29177","28666","28140"," ","Ray MO","Grape Grove township","Kansas City, MO-KS"," ","Cowgill, MO",102,0.153 
"64637","29177","39314","28140"," ","Ray MO","Knoxville township","Kansas City, MO-KS"," ","Cowgill, MO",28,0.042 
"64638","29033","32176"," "," ","Carroll MO","Hill township"," "," ","Dawn, MO",87,0.167 
"64638","29033","77254"," "," ","Carroll MO","Washington township"," "," ","Dawn, MO",28,0.054 
"64638","29117","06580"," "," ","Livingston MO","Blue Mound township"," "," ","Dawn, MO",381,0.731 
"64638","29117","23500"," "," ","Livingston MO","Fairview township"," "," ","Dawn, MO",9,0.017 
"64638","29117","49340"," "," ","Livingston MO","Monroe township"," "," ","Dawn, MO",16,0.031 
"64639","29033","15742"," "," ","Carroll MO","Combs township"," "," ","De Witt, MO",11,0.046 
"64639","29033","19360"," "," ","Carroll MO","De Witt township"," "," ","De Witt, MO",226,0.942 
"64639","29033","22780"," "," ","Carroll MO","Eugene township"," "," ","De Witt, MO",3,0.012 
"64640","29061","28270"," "," ","Daviess MO","Grand River township"," "," ","Gallatin, MO",58,0.018 
"64640","29061","30502"," "," ","Daviess MO","Harrison township"," "," ","Gallatin, MO",39,0.012 
"64640","29061","35738"," "," ","Daviess MO","Jackson township"," "," ","Gallatin, MO",92,0.029 
"64640","29061","36350"," "," ","Daviess MO","Jamesport township"," "," ","Gallatin, MO",12,0.004 
"64640","29061","42104"," "," ","Daviess MO","Liberty township"," "," ","Gallatin, MO",601,0.191 
"64640","29061","46010"," "," ","Daviess MO","Marion township"," "," ","Gallatin, MO",29,0.009 
"64640","29061","49304"," "," ","Daviess MO","Monroe township"," "," ","Gallatin, MO",111,0.035 
"64640","29061","67322"," "," ","Daviess MO","Sheridan township"," "," ","Gallatin, MO",61,0.019 
"64640","29061","74590"," "," ","Daviess MO","Union township"," "," ","Gallatin, MO",2137,0.681 
"64641","29079","42122"," "," ","Grundy MO","Liberty township"," "," ","Galt, MO",393,0.59 
"64641","29079","46028"," "," ","Grundy MO","Marion township"," "," ","Galt, MO",81,0.122 
"64641","29079","50978"," "," ","Grundy MO","Myers township"," "," ","Galt, MO",83,0.125 
"64641","29211","07678"," "," ","Sullivan MO","Bowman township"," "," ","Galt, MO",81,0.122 
"64641","29211","42374"," "," ","Sullivan MO","Liberty township"," "," ","Galt, MO",28,0.042 
"64642","29061","42698"," "," ","Daviess MO","Lincoln township"," "," ","Gilman City, MO",18,0.021 
"64642","29061","77362"," "," ","Daviess MO","Washington township"," "," ","Gilman City, MO",30,0.035 
"64642","29079","72484"," "," ","Grundy MO","Taylor township"," "," ","Gilman City, MO",127,0.149 
"64642","29081","00226"," "," ","Harrison MO","Adams township"," "," ","Gilman City, MO",91,0.106 
"64642","29081","25455"," "," ","Harrison MO","Fox Creek township"," "," ","Gilman City, MO",55,0.064 
"64642","29081","67448"," "," ","Harrison MO","Sherman township"," "," ","Gilman City, MO",9,0.011 
"64642","29081","71350"," "," ","Harrison MO","Sugar Creek township"," "," ","Gilman City, MO",525,0.614 
"64643","29033","34012"," "," ","Carroll MO","Hurricane township"," "," ","Hale, MO",683,0.637 
"64643","29033","70882"," "," ","Carroll MO","Stokes Mound township"," "," ","Hale, MO",74,0.069 
"64643","29117","23500"," "," ","Livingston MO","Fairview township"," "," ","Hale, MO",65,0.061 
"64643","29117","28306"," "," ","Livingston MO","Grand River township"," "," ","Hale, MO",250,0.233 
"64644","29025","08146","28140"," ","Caldwell MO","Breckenridge township","Kansas City, MO-KS"," ","Hamilton, MO",2,0.001 
"64644","29025","27784","28140"," ","Caldwell MO","Gomer township","Kansas City, MO-KS"," ","Hamilton, MO",340,0.112 
"64644","29025","30052","28140"," ","Caldwell MO","Hamilton township","Kansas City, MO-KS"," ","Hamilton, MO",2222,0.735 
"64644","29025","38864","28140"," ","Caldwell MO","Kingston township","Kansas City, MO-KS"," ","Hamilton, MO",130,0.043 
"64644","29025","48872","28140"," ","Caldwell MO","Mirabile township","Kansas City, MO-KS"," ","Hamilton, MO",1,0 
"64644","29025","52400","28140"," ","Caldwell MO","New York township","Kansas City, MO-KS"," ","Hamilton, MO",163,0.054 
"64644","29061","49304"," "," ","Daviess MO","Monroe township"," "," ","Hamilton, MO",42,0.014 
"64644","29061","67322"," "," ","Daviess MO","Sheridan township"," "," ","Hamilton, MO",124,0.041 
"64645","29129","47108"," "," ","Mercer MO","Medicine township"," "," ","Harris, MO",58,0.297 
"64645","29211","14536"," "," ","Sullivan MO","Clay township"," "," ","Harris, MO",91,0.467 
"64645","29211","42374"," "," ","Sullivan MO","Liberty township"," "," ","Harris, MO",46,0.236 
"64646","29115","35864"," "," ","Linn MO","Jackson township"," "," ","Humphreys, MO (PO Boxes)",26,0.088 
"64646","29211","07678"," "," ","Sullivan MO","Bowman township"," "," ","Humphreys, MO (PO Boxes)",203,0.684 
"64646","29211","20386"," "," ","Sullivan MO","Duncan township"," "," ","Humphreys, MO (PO Boxes)",2,0.007 
"64646","29211","72538"," "," ","Sullivan MO","Taylor township"," "," ","Humphreys, MO (PO Boxes)",66,0.222 
"64647","29061","28270"," "," ","Daviess MO","Grand River township"," "," ","Jameson, MO",299,0.789 
"64647","29061","46010"," "," ","Daviess MO","Marion township"," "," ","Jameson, MO",13,0.034 
"64647","29061","65198"," "," ","Daviess MO","Salem township"," "," ","Jameson, MO",6,0.016 
"64647","29061","77362"," "," ","Daviess MO","Washington township"," "," ","Jameson, MO",61,0.161 
"64648","29061","28270"," "," ","Daviess MO","Grand River township"," "," ","Jamesport, MO",36,0.017 
"64648","29061","35738"," "," ","Daviess MO","Jackson township"," "," ","Jamesport, MO",531,0.249 
"64648","29061","36350"," "," ","Daviess MO","Jamesport township"," "," ","Jamesport, MO",1073,0.504 
"64648","29061","42698"," "," ","Daviess MO","Lincoln township"," "," ","Jamesport, MO",90,0.042 
"64648","29061","77362"," "," ","Daviess MO","Washington township"," "," ","Jamesport, MO",2,0.001 
"64648","29079","36800"," "," ","Grundy MO","Jefferson township"," "," ","Jamesport, MO",293,0.138 
"64648","29079","45380"," "," ","Grundy MO","Madison township"," "," ","Jamesport, MO",27,0.013 
"64648","29117","35882"," "," ","Livingston MO","Jackson township"," "," ","Jamesport, MO",77,0.036 
"64649","29025","30052","28140"," ","Caldwell MO","Hamilton township","Kansas City, MO-KS"," ","Kidder, MO",160,0.185 
"64649","29025","38540","28140"," ","Caldwell MO","Kidder township","Kansas City, MO-KS"," ","Kidder, MO",491,0.568 
"64649","29025","48872","28140"," ","Caldwell MO","Mirabile township","Kansas City, MO-KS"," ","Kidder, MO",8,0.009 
"64649","29061","15472"," "," ","Daviess MO","Colfax township"," "," ","Kidder, MO",60,0.069 
"64649","29061","67322"," "," ","Daviess MO","Sheridan township"," "," ","Kidder, MO",145,0.168 
"64650","29025","28396","28140"," ","Caldwell MO","Grant township","Kansas City, MO-KS"," ","Kingston, MO",87,0.12 
"64650","29025","38864","28140"," ","Caldwell MO","Kingston township","Kansas City, MO-KS"," ","Kingston, MO",484,0.666 
"64650","29025","48872","28140"," ","Caldwell MO","Mirabile township","Kansas City, MO-KS"," ","Kingston, MO",130,0.179 
"64650","29025","52400","28140"," ","Caldwell MO","New York township","Kansas City, MO-KS"," ","Kingston, MO",6,0.008 
"64650","29025","62624","28140"," ","Caldwell MO","Rockford township","Kansas City, MO-KS"," ","Kingston, MO",20,0.028 
"64651","29115","36854"," "," ","Linn MO","Jefferson township"," "," ","Laclede, MO",570,1 
"64652","29079","46028"," "," ","Grundy MO","Marion township"," "," ","Laredo, MO",54,0.122 
"64652","29079","80224"," "," ","Grundy MO","Wilson township"," "," ","Laredo, MO",387,0.878 
"64653","29115","14446"," "," ","Linn MO","Clay township"," "," ","Linneus, MO",88,0.128 
"64653","29115","28612"," "," ","Linn MO","Grantsville township"," "," ","Linneus, MO",101,0.147 
"64653","29115","35864"," "," ","Linn MO","Jackson township"," "," ","Linneus, MO",38,0.055 
"64653","29115","36854"," "," ","Linn MO","Jefferson township"," "," ","Linneus, MO",3,0.004 
"64653","29115","43526"," "," ","Linn MO","Locust Creek township"," "," ","Linneus, MO",457,0.665 
"64654","29061","35738"," "," ","Daviess MO","Jackson township"," "," ","Lock Springs, MO",52,1 
"64655","29171","36026"," "," ","Putnam MO","Jackson township"," "," ","Lucerne, MO",64,0.242 
"64655","29171","47126"," "," ","Putnam MO","Medicine township"," "," ","Lucerne, MO",163,0.617 
"64655","29171","81340"," "," ","Putnam MO","York township"," "," ","Lucerne, MO",37,0.14 
"64656","29117","06580"," "," ","Livingston MO","Blue Mound township"," "," ","Ludlow, MO",1,0.004 
"64656","29117","28990"," "," ","Livingston MO","Green township"," "," ","Ludlow, MO",8,0.033 
"64656","29117","49340"," "," ","Livingston MO","Monroe township"," "," ","Ludlow, MO",227,0.946 
"64656","29117","49808"," "," ","Livingston MO","Mooresville township"," "," ","Ludlow, MO",4,0.017 
"64657","29061","04636"," "," ","Daviess MO","Benton township"," "," ","Mc Fall, MO",41,0.127 
"64657","29075","02386"," "," ","Gentry MO","Athens township"," "," ","Mc Fall, MO",3,0.009 
"64657","29075","48224"," "," ","Gentry MO","Miller township"," "," ","Mc Fall, MO",186,0.576 
"64657","29081","10072"," "," ","Harrison MO","Butler township"," "," ","Mc Fall, MO",87,0.269 
"64657","29081","17956"," "," ","Harrison MO","Cypress township"," "," ","Mc Fall, MO",6,0.019 
"64658","29041","03952"," "," ","Chariton MO","Bee Branch township"," "," ","Marceline, MO",32,0.01 
"64658","29041","14014"," "," ","Chariton MO","Clark township"," "," ","Marceline, MO",456,0.139 
"64658","29041","15238"," "," ","Chariton MO","Cockrell township"," "," ","Marceline, MO",3,0.001 
"64658","29041","50924"," "," ","Chariton MO","Musselfork township"," "," ","Marceline, MO",115,0.035 
"64658","29041","65486"," "," ","Chariton MO","Salt Creek township"," "," ","Marceline, MO",3,0.001 
"64658","29041","81286"," "," ","Chariton MO","Yellow Creek township"," "," ","Marceline, MO",66,0.02 
"64658","29115","09406"," "," ","Linn MO","Bucklin township"," "," ","Marceline, MO",10,0.003 
"64658","29115","45884"," "," ","Linn MO","Marceline township"," "," ","Marceline, MO",2592,0.791 
"64659","29115","14446"," "," ","Linn MO","Clay township"," "," ","Meadville, MO",108,0.112 
"64659","29115","56378"," "," ","Linn MO","Parson Creek township"," "," ","Meadville, MO",856,0.888 
"64660","29041","09064"," "," ","Chariton MO","Brunswick township"," "," ","Mendon, MO",8,0.016 
"64660","29041","17776"," "," ","Chariton MO","Cunningham township"," "," ","Mendon, MO",1,0.002 
"64660","29041","47306"," "," ","Chariton MO","Mendon township"," "," ","Mendon, MO",308,0.6 
"64660","29041","50924"," "," ","Chariton MO","Musselfork township"," "," ","Mendon, MO",2,0.004 
"64660","29041","65486"," "," ","Chariton MO","Salt Creek township"," "," ","Mendon, MO",176,0.343 
"64660","29041","73888"," "," ","Chariton MO","Triplett township"," "," ","Mendon, MO",14,0.027 
"64660","29041","81286"," "," ","Chariton MO","Yellow Creek township"," "," ","Mendon, MO",4,0.008 
"64661","29129","43058"," "," ","Mercer MO","Lindley township"," "," ","Mercer, MO",28,0.031 
"64661","29129","46082"," "," ","Mercer MO","Marion township"," "," ","Mercer, MO",811,0.885 
"64661","29129","68564"," "," ","Mercer MO","Somerset township"," "," ","Mercer, MO",77,0.084 
"64664","29117","28990"," "," ","Livingston MO","Green township"," "," ","Mooresville, MO",40,0.114 
"64664","29117","49808"," "," ","Livingston MO","Mooresville township"," "," ","Mooresville, MO",310,0.886 
"64667","29129","47108"," "," ","Mercer MO","Medicine township"," "," ","Newtown, MO",23,0.058 
"64667","29129","60662"," "," ","Mercer MO","Ravanna township"," "," ","Newtown, MO",29,0.073 
"64667","29171","47126"," "," ","Putnam MO","Medicine township"," "," ","Newtown, MO",26,0.066 
"64667","29171","81340"," "," ","Putnam MO","York township"," "," ","Newtown, MO",1,0.003 
"64667","29211","14536"," "," ","Sullivan MO","Clay township"," "," ","Newtown, MO",314,0.795 
"64667","29211","36152"," "," ","Sullivan MO","Jackson township"," "," ","Newtown, MO",2,0.005 
"64668","29033","13510"," "," ","Carroll MO","Cherry Valley township"," "," ","Norborne, MO",14,0.01 
"64668","29033","21412"," "," ","Carroll MO","Egypt township"," "," ","Norborne, MO",878,0.62 
"64668","29033","23302"," "," ","Carroll MO","Fairfield township"," "," ","Norborne, MO",97,0.069 
"64668","29033","50276"," "," ","Carroll MO","Moss Creek township"," "," ","Norborne, MO",62,0.044 
"64668","29033","59510"," "," ","Carroll MO","Prairie township"," "," ","Norborne, MO",147,0.104 
"64668","29033","71422"," "," ","Carroll MO","Sugartree township"," "," ","Norborne, MO",6,0.004 
"64668","29177","28666","28140"," ","Ray MO","Grape Grove township","Kansas City, MO-KS"," ","Norborne, MO",212,0.15 
"64670","29061","04636"," "," ","Daviess MO","Benton township"," "," ","Pattonsburg, MO",474,0.435 
"64670","29061","36782"," "," ","Daviess MO","Jefferson township"," "," ","Pattonsburg, MO",20,0.018 
"64670","29061","46010"," "," ","Daviess MO","Marion township"," "," ","Pattonsburg, MO",178,0.163 
"64670","29061","65198"," "," ","Daviess MO","Salem township"," "," ","Pattonsburg, MO",254,0.233 
"64670","29063","18046","41140"," ","DeKalb MO","Dallas township","St. Joseph, MO-KS"," ","Pattonsburg, MO",111,0.102 
"64670","29075","48224"," "," ","Gentry MO","Miller township"," "," ","Pattonsburg, MO",24,0.022 
"64670","29081","10072"," "," ","Harrison MO","Butler township"," "," ","Pattonsburg, MO",2,0.002 
"64670","29081","17956"," "," ","Harrison MO","Cypress township"," "," ","Pattonsburg, MO",27,0.025 
"64671","29025","28396","28140"," ","Caldwell MO","Grant township","Kansas City, MO-KS"," ","Polo, MO",1352,0.656 
"64671","29025","38864","28140"," ","Caldwell MO","Kingston township","Kansas City, MO-KS"," ","Polo, MO",9,0.004 
"64671","29025","42626","28140"," ","Caldwell MO","Lincoln township","Kansas City, MO-KS"," ","Polo, MO",1,0 
"64671","29025","48872","28140"," ","Caldwell MO","Mirabile township","Kansas City, MO-KS"," ","Polo, MO",6,0.003 
"64671","29025","62624","28140"," ","Caldwell MO","Rockford township","Kansas City, MO-KS"," ","Polo, MO",272,0.132 
"64671","29177","39314","28140"," ","Ray MO","Knoxville township","Kansas City, MO-KS"," ","Polo, MO",400,0.194 
"64671","29177","58844","28140"," ","Ray MO","Polk township","Kansas City, MO-KS"," ","Polo, MO",22,0.011 
"64672","29171","67466"," "," ","Putnam MO","Sherman township"," "," ","Powersville, MO",66,0.263 
"64672","29171","81340"," "," ","Putnam MO","York township"," "," ","Powersville, MO",185,0.737 
"64673","29129","30538"," "," ","Mercer MO","Harrison township"," "," ","Princeton, MO",110,0.044 
"64673","29129","43058"," "," ","Mercer MO","Lindley township"," "," ","Princeton, MO",23,0.009 
"64673","29129","45452"," "," ","Mercer MO","Madison township"," "," ","Princeton, MO",218,0.087 
"64673","29129","46082"," "," ","Mercer MO","Marion township"," "," ","Princeton, MO",15,0.006 
"64673","29129","47108"," "," ","Mercer MO","Medicine township"," "," ","Princeton, MO",67,0.027 
"64673","29129","49952"," "," ","Mercer MO","Morgan township"," "," ","Princeton, MO",1497,0.601 
"64673","29129","60662"," "," ","Mercer MO","Ravanna township"," "," ","Princeton, MO",188,0.075 
"64673","29129","68564"," "," ","Mercer MO","Somerset township"," "," ","Princeton, MO",13,0.005 
"64673","29129","77578"," "," ","Mercer MO","Washington township"," "," ","Princeton, MO",361,0.145 
"64674","29115","04726"," "," ","Linn MO","Benton township"," "," ","Purdin, MO",244,0.57 
"64674","29115","22438"," "," ","Linn MO","Enterprise township"," "," ","Purdin, MO",30,0.07 
"64674","29115","28612"," "," ","Linn MO","Grantsville township"," "," ","Purdin, MO",85,0.199 
"64674","29115","35864"," "," ","Linn MO","Jackson township"," "," ","Purdin, MO",37,0.086 
"64674","29115","43526"," "," ","Linn MO","Locust Creek township"," "," ","Purdin, MO",10,0.023 
"64674","29115","53300"," "," ","Linn MO","North Salem township"," "," ","Purdin, MO",22,0.051 
"64676","29041","17776"," "," ","Chariton MO","Cunningham township"," "," ","Rothville, MO",8,0.037 
"64676","29041","65486"," "," ","Chariton MO","Salt Creek township"," "," ","Rothville, MO",2,0.009 
"64676","29041","81286"," "," ","Chariton MO","Yellow Creek township"," "," ","Rothville, MO",205,0.953 
"64679","29079","25606"," "," ","Grundy MO","Franklin township"," "," ","Spickard, MO",485,0.602 
"64679","29079","42122"," "," ","Grundy MO","Liberty township"," "," ","Spickard, MO",2,0.002 
"64679","29079","42734"," "," ","Grundy MO","Lincoln township"," "," ","Spickard, MO",57,0.071 
"64679","29079","50978"," "," ","Grundy MO","Myers township"," "," ","Spickard, MO",78,0.097 
"64679","29079","72484"," "," ","Grundy MO","Taylor township"," "," ","Spickard, MO",1,0.001 
"64679","29079","77470"," "," ","Grundy MO","Washington township"," "," ","Spickard, MO",114,0.142 
"64679","29129","47108"," "," ","Mercer MO","Medicine township"," "," ","Spickard, MO",18,0.022 
"64679","29129","77578"," "," ","Mercer MO","Washington township"," "," ","Spickard, MO",50,0.062 
"64681","29041","17776"," "," ","Chariton MO","Cunningham township"," "," ","Sumner, MO",192,1 
"64682","29033","32176"," "," ","Carroll MO","Hill township"," "," ","Tina, MO",43,0.114 
"64682","29033","34012"," "," ","Carroll MO","Hurricane township"," "," ","Tina, MO",13,0.034 
"64682","29033","70882"," "," ","Carroll MO","Stokes Mound township"," "," ","Tina, MO",258,0.683 
"64682","29033","75742"," "," ","Carroll MO","Van Horn township"," "," ","Tina, MO",64,0.169 
"64683","29079","30520"," "," ","Grundy MO","Harrison township"," "," ","Trenton, MO",108,0.013 
"64683","29079","35810"," "," ","Grundy MO","Jackson township"," "," ","Trenton, MO",127,0.016 
"64683","29079","36800"," "," ","Grundy MO","Jefferson township"," "," ","Trenton, MO",152,0.019 
"64683","29079","42122"," "," ","Grundy MO","Liberty township"," "," ","Trenton, MO",41,0.005 
"64683","29079","42734"," "," ","Grundy MO","Lincoln township"," "," ","Trenton, MO",468,0.057 
"64683","29079","45380"," "," ","Grundy MO","Madison township"," "," ","Trenton, MO",599,0.074 
"64683","29079","46028"," "," ","Grundy MO","Marion township"," "," ","Trenton, MO",113,0.014 
"64683","29079","72484"," "," ","Grundy MO","Taylor township"," "," ","Trenton, MO",51,0.006 
"64683","29079","73834"," "," ","Grundy MO","Trenton township"," "," ","Trenton, MO",6393,0.785 
"64683","29079","80224"," "," ","Grundy MO","Wilson township"," "," ","Trenton, MO",3,0 
"64683","29117","17146"," "," ","Livingston MO","Cream Ridge township"," "," ","Trenton, MO",70,0.009 
"64683","29117","35882"," "," ","Livingston MO","Jackson township"," "," ","Trenton, MO",19,0.002 
"64686","29117","28990"," "," ","Livingston MO","Green township"," "," ","Utica, MO",271,1 
"64688","29115","14446"," "," ","Linn MO","Clay township"," "," ","Wheeling, MO",52,0.095 
"64688","29115","35864"," "," ","Linn MO","Jackson township"," "," ","Wheeling, MO",31,0.057 
"64688","29117","47090"," "," ","Livingston MO","Medicine township"," "," ","Wheeling, MO",54,0.099 
"64688","29117","79198"," "," ","Livingston MO","Wheeling township"," "," ","Wheeling, MO",411,0.75 
"64689","29061","15472"," "," ","Daviess MO","Colfax township"," "," ","Winston, MO",403,0.59 
"64689","29061","36782"," "," ","Daviess MO","Jefferson township"," "," ","Winston, MO",280,0.41 
"64701","29037","02620","28140"," ","Cass MO","Austin township","Kansas City, MO-KS"," ","Harrisonville, MO",304,0.021 
"64701","29037","10936","28140"," ","Cass MO","Camp Branch township","Kansas City, MO-KS"," ","Harrisonville, MO",617,0.043 
"64701","29037","28252","28140"," ","Cass MO","Grand River township","Kansas City, MO-KS"," ","Harrisonville, MO",11176,0.777 
"64701","29037","56774","28140"," ","Cass MO","Peculiar township","Kansas City, MO-KS"," ","Harrisonville, MO",2274,0.158 
"64701","29037","58412","28140"," ","Cass MO","Pleasant Hill township","Kansas City, MO-KS"," ","Harrisonville, MO",14,0.001 
"64720","29013","18766","28140"," ","Bates MO","Deer Creek township","Kansas City, MO-KS"," ","Adrian, MO",2078,0.541 
"64720","29013","20800","28140"," ","Bates MO","East Boone township","Kansas City, MO-KS"," ","Adrian, MO",486,0.126 
"64720","29013","21664","28140"," ","Bates MO","Elkhart township","Kansas City, MO-KS"," ","Adrian, MO",157,0.041 
"64720","29013","28234","28140"," ","Bates MO","Grand River township","Kansas City, MO-KS"," ","Adrian, MO",307,0.08 
"64720","29013","48746","28140"," ","Bates MO","Mingo township","Kansas City, MO-KS"," ","Adrian, MO",106,0.028 
"64720","29013","50294","28140"," ","Bates MO","Mound township","Kansas City, MO-KS"," ","Adrian, MO",578,0.15 
"64720","29013","67052","28140"," ","Bates MO","Shawnee township","Kansas City, MO-KS"," ","Adrian, MO",127,0.033 
"64720","29013","70198","28140"," ","Bates MO","Spruce township","Kansas City, MO-KS"," ","Adrian, MO",4,0.001 
"64722","29013","13384","28140"," ","Bates MO","Charlotte township","Kansas City, MO-KS"," ","Amoret, MO",7,0.013 
"64722","29013","21664","28140"," ","Bates MO","Elkhart township","Kansas City, MO-KS"," ","Amoret, MO",107,0.204 
"64722","29013","32788","28140"," ","Bates MO","Homer township","Kansas City, MO-KS"," ","Amoret, MO",409,0.779 
"64722","29013","78946","28140"," ","Bates MO","West Point township","Kansas City, MO-KS"," ","Amoret, MO",2,0.004 
"64723","29013","21664","28140"," ","Bates MO","Elkhart township","Kansas City, MO-KS"," ","Amsterdam, MO",4,0.006 
"64723","29013","32788","28140"," ","Bates MO","Homer township","Kansas City, MO-KS"," ","Amsterdam, MO",21,0.032 
"64723","29013","78604","28140"," ","Bates MO","West Boone township","Kansas City, MO-KS"," ","Amsterdam, MO",137,0.206 
"64723","29013","78946","28140"," ","Bates MO","West Point township","Kansas City, MO-KS"," ","Amsterdam, MO",503,0.756 
"64724","29013","33562","28140"," ","Bates MO","Hudson township","Kansas City, MO-KS"," ","Appleton City, MO",231,0.124 
"64724","29013","58340","28140"," ","Bates MO","Pleasant Gap township","Kansas City, MO-KS"," ","Appleton City, MO",10,0.005 
"64724","29185","01504"," "," ","St. Clair MO","Appleton township"," "," ","Appleton City, MO",1390,0.748 
"64724","29185","49142"," "," ","St. Clair MO","Monegaw township"," "," ","Appleton City, MO",144,0.077 
"64724","29185","55208"," "," ","St. Clair MO","Osage township"," "," ","Appleton City, MO",79,0.042 
"64724","29185","72124"," "," ","St. Clair MO","Taber township"," "," ","Appleton City, MO",5,0.003 
"64725","29013","18766","28140"," ","Bates MO","Deer Creek township","Kansas City, MO-KS"," ","Archie, MO",271,0.119 
"64725","29013","28234","28140"," ","Bates MO","Grand River township","Kansas City, MO-KS"," ","Archie, MO",5,0.002 
"64725","29037","02620","28140"," ","Cass MO","Austin township","Kansas City, MO-KS"," ","Archie, MO",1721,0.758 
"64725","29037","19738","28140"," ","Cass MO","Dolan township","Kansas City, MO-KS"," ","Archie, MO",1,0 
"64725","29037","22942","28140"," ","Cass MO","Everett township","Kansas City, MO-KS"," ","Archie, MO",246,0.108 
"64725","29037","28252","28140"," ","Cass MO","Grand River township","Kansas City, MO-KS"," ","Archie, MO",27,0.012 
"64726","29083","05392"," "," ","Henry MO","Big Creek township"," "," ","Blairstown, MO",228,0.488 
"64726","29083","06850"," "," ","Henry MO","Bogard township"," "," ","Blairstown, MO",185,0.396 
"64726","29101","13672","47660"," ","Johnson MO","Chilhowee township","Warrensburg, MO"," ","Blairstown, MO",38,0.081 
"64726","29101","63146","47660"," ","Johnson MO","Rose Hill township","Warrensburg, MO"," ","Blairstown, MO",16,0.034 
"64728","29217","15166"," "," ","Vernon MO","Coal township"," "," ","Bronaugh, MO",3,0.005 
"64728","29217","30592"," "," ","Vernon MO","Harrison township"," "," ","Bronaugh, MO",237,0.399 
"64728","29217","50348"," "," ","Vernon MO","Moundville township"," "," ","Bronaugh, MO",354,0.596 
"64730","29013","13384","28140"," ","Bates MO","Charlotte township","Kansas City, MO-KS"," ","Butler, MO",350,0.049 
"64730","29013","18712","28140"," ","Bates MO","Deepwater township","Kansas City, MO-KS"," ","Butler, MO",205,0.029 
"64730","29013","21664","28140"," ","Bates MO","Elkhart township","Kansas City, MO-KS"," ","Butler, MO",31,0.004 
"64730","29013","32788","28140"," ","Bates MO","Homer township","Kansas City, MO-KS"," ","Butler, MO",17,0.002 
"64730","29013","33562","28140"," ","Bates MO","Hudson township","Kansas City, MO-KS"," ","Butler, MO",3,0 
"64730","29013","43796","28140"," ","Bates MO","Lone Oak township","Kansas City, MO-KS"," ","Butler, MO",260,0.037 
"64730","29013","50294","28140"," ","Bates MO","Mound township","Kansas City, MO-KS"," ","Butler, MO",263,0.037 
"64730","29013","50546","28140"," ","Bates MO","Mount Pleasant township","Kansas City, MO-KS"," ","Butler, MO",5079,0.714 
"64730","29013","51950","28140"," ","Bates MO","New Home township","Kansas City, MO-KS"," ","Butler, MO",72,0.01 
"64730","29013","58340","28140"," ","Bates MO","Pleasant Gap township","Kansas City, MO-KS"," ","Butler, MO",156,0.022 
"64730","29013","67052","28140"," ","Bates MO","Shawnee township","Kansas City, MO-KS"," ","Butler, MO",144,0.02 
"64730","29013","70198","28140"," ","Bates MO","Spruce township","Kansas City, MO-KS"," ","Butler, MO",206,0.029 
"64730","29013","71530","28140"," ","Bates MO","Summit township","Kansas City, MO-KS"," ","Butler, MO",312,0.044 
"64730","29013","76804","28140"," ","Bates MO","Walnut township","Kansas City, MO-KS"," ","Butler, MO",11,0.002 
