psraid,sample,lang,fips,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,smart1,pial2,pial3a,pial3b,pial3c,pial4a,pial4b,pial4c,pial4d,pial5,pial6m1,pial6m2,pial6m3,pial6m4,SmartPhone,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,raceos,weight,standwt
202092,2,2,48215,48,3,U, ,1,2,1,1,0, , , , , , , , , , , , ,1, , ,2,1,2,2,2,28,2,1,1,2,1,3,3,2, ,7.32142857142857,2.09850661499399
202095,2,1,48201,48,3,U, ,2,2,2,1,10,1,2,2, , , , ,1,1, , , ,1, , ,2,1,3,2,2,48,3,2,2,2,1,1,2, , ,7.96428571428571,2.28276573240809
202097,2,1,17033,17,2,R, ,1,1,1,1,5,1,2,1,5,3,5,5,2, , , , ,1, , ,1,9,1,1,1,34,3,2,1,99,9,1,9,9, ,2.89285714285714,.829166028363477
202099,2,1,34017,34,1,S, ,1,2,1,1,2,1,2,1,2, ,5,5,2, , , , ,1, , ,2,2,3,2,1,21,6,2,3,3,1,3,3,2, ,4.21428571428571,1.20792088082581
202101,2,1,5111,5,3,S, ,2,2,1,2,0, , , , , , , , , , , , ,2, , ,1,2,2,2,2,67,3,2,1,3,1,1,3,9, ,2.32142857142857,.665380146217606
202107,2,1,1043,1,3,R, ,1,1,1,1,0, , , , , , , , , , , , ,1, , ,2,2,1,2,1,46,3,2,1,8,4,1,2, , ,6.10714285714286,1.75046161543401
202117,2,1,40125,40,3,R, ,2,2,2,1,12,1,2,2, , , , ,1,1, , , ,1, , ,2,2,3,2,1,49,1,2,1,2,1,3,1, , ,4.57142857142857,1.31028705716698
202127,2,1,48491,48,3,U, ,1,1,2,1,10,1,1,1, ,3,5,1,2, , , , ,1, , ,2,3,1,1,2,22,3,2,1,3,1,3,3,9, ,6.17857142857143,1.77093485070224
202129,2,1,48029,48,3,U, ,1,1,1,1,0, , , , , , , , , , , , ,1, , ,2,2,1,1,1,38,3,2,1,5,2,3,1, , ,7.96428571428571,2.28276573240809
202132,2,1,1127,1,3,S, ,1,2,2,1,98, , , , , , , , , , , , ,1, , ,1,2,1,2,2,23,3,2,1,99,9,1,3,2, ,2.78571428571429,.798456175461127
